app_package,queried_package
in.startv.hotstar,net.one97.paytm
in.startv.hotstar,com.google.android.gms.policy_cast_dynamite
in.startv.hotstar,androidx.test.orchestrator
in.startv.hotstar,androidx.test.services
in.startv.hotstar,com.google.android.apps.common.testing.services
com.nobroker.app,in.org.npci.upiapp
com.nobroker.app,com.google.android.apps.nbu.paisa.user
com.nobroker.app,net.one97.paytm
com.nobroker.app,com.phonepe.app
com.nobroker.app,in.amazon.mShop.android.shopping
com.nobroker.app,com.freecharge.android
com.nobroker.app,com.upi.axispay
com.nobroker.app,com.mobikwik_new
com.nobroker.app,com.google.android.apps.maps
com.nobroker.app,com.truecaller
com.nobroker.app,com.truecaller.debug
com.zepto.rider,com.phonepe.app
com.zepto.rider,net.one97.paytm
com.zepto.rider,com.google.android.apps.nbu.paisa.user
com.zepto.rider,in.org.npci.upiapp
com.zepto.rider,in.swiggy.deliveryapp
com.zepto.rider,com.zomato.delivery
com.zepto.rider,app.blinkit.onboarding
com.zepto.rider,runner.dunzo.com.dunzo_runner
com.zepto.rider,com.carthero.driver
com.zepto.rider,com.whatsapp
com.zepto.rider,in.shadowfax.gandalf
com.zepto.rider,global.dostavista.courier
com.zepto.rider,com.theporter.android.driverapp
com.zepto.rider,com.loadshare.deliveryapp
com.zepto.rider,com.rapido.rider
com.zepto.rider,com.zeptoconsumerapp
com.zepto.rider,com.google.android.apps.maps
com.zepto.rider,com.instagram.android
com.zepto.rider,com.twitter.android
com.zepto.rider,com.facebook.katana
in.mohalla.sharechat,com.truecaller
in.mohalla.sharechat,com.truecaller.debug
in.mohalla.sharechat,com.facebook.katana
in.mohalla.sharechat,com.instagram.android
in.mohalla.sharechat,com.google.android.apps.tv.launcherx
in.mohalla.sharechat,com.google.android.tvlauncher
in.mohalla.sharechat,com.google.android.tvrecommendations
in.mohalla.sharechat,com.google.android.apps.nbu.paisa.user
in.mohalla.sharechat,com.phonepe.app
in.mohalla.sharechat,net.one97.paytm
in.mohalla.sharechat,com.paytmmall
in.mohalla.sharechat,in.org.npci.upiapp
in.mohalla.sharechat,in.amazon.mShop.android.shopping
in.mohalla.sharechat,com.csam.icici.bank.imobile
in.mohalla.sharechat,com.sbi.upi
in.mohalla.sharechat,com.myairtelapp
in.mohalla.sharechat,com.icicibank.pockets
in.mohalla.sharechat,com.snapwork.hdfc
in.mohalla.sharechat,com.enstage.wibmo.hdfc
in.mohalla.sharechat,com.mobikwik_new
in.mohalla.sharechat,com.upi.axispay
in.mohalla.sharechat,com.axis.mobile
in.mohalla.sharechat,com.freecharge.android
in.mohalla.sharechat,com.samsung.android.spaymini
in.mohalla.sharechat,com.samsung.android.spay
in.mohalla.sharechat,com.dreamplug.androidapp
in.mohalla.sharechat,com.bankofbaroda.upi
in.mohalla.sharechat,com.whatsapp.w4b
